orthology	C10	M11	D10	C12	M13	D11	C13	M6	D2	C14	M7	D6	C15	M8	D8	C9	M9	D9
K03676	0	1.819700414	26.11202497	0	13.70497329	1.459759571	2.672158337	110.0242525	6.456372454	0	5.355006527	15.51235834	1.715198809	0	0	1.908694907	131.5809449	4.238060953
K03678	1.129628298	0	0	0	1.243183369	0	0	0	0	0	0	0	0	0	0	0	0	0
K03679	0.943935975	0.639979383	0	0	0.803328236	0.504833518	0.309761371	0	0	0.884884266	0.370387951	0	0	0	1.57104827	0	1.756952771	0.496834829
K03680	0.277852122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03683	3.204991916	2.665149553	35.83646035	2.44571877	10.52760553	0	0.968511537	59.82898326	1.26516867	0	2.063470932	8.958481909	1.986439551	1.011425811	1.177424504	0.858573138	82.81158579	0.542838054
K03684	2.223708543	3.44074046	20.67371712	5.926961331	8.088979789	1.908546531	2.033623352	51.78142553	3.621587442	1.595241282	3.555724334	8.604836995	3.030088774	0.909488916	2.844764938	1.01737992	81.92559972	1.250778765
K03685	232.0241977	315.364489	439.3299041	246.6390972	519.0966263	483.9561563	313.7680744	471.3446323	312.7133162	578.3027575	517.5176714	336.5393587	721.953228	438.1642386	422.5881044	600.6926628	419.4401828	344.4188302
K03686	741.3855801	831.1460259	782.0700628	875.4933789	657.178853	766.5577552	925.3496936	724.6175771	1013.845969	543.1774846	771.6156305	857.3177458	457.9777383	812.1261966	998.2332907	659.8187453	730.3193458	830.7852001
K03687	441.3658157	433.5908842	468.5499404	388.1783126	450.3109712	517.3914573	456.9490589	433.564406	508.623589	548.559487	381.499449	429.7421696	546.4254527	420.2580449	466.3290249	479.0464138	394.8662638	430.273964
K03688	5.595913408	8.000717417	42.18104639	11.82145771	30.34590212	14.707596	3.896382928	73.88196296	11.72426504	4.078182302	17.64926651	15.18023217	2.333533839	9.48836371	6.673483732	4.181330673	121.1642386	13.77254357
K03690	8.570562959	4.508511475	38.93708533	0.872022447	16.97780273	1.808358872	0	82.56286432	0.684422463	1.523119264	5.703895478	12.81120142	2.833064699	0	0.625292844	0	131.6316009	2.916741784
K03693	0.437192638	0.772438008	9.428021267	1.889016839	8.532043997	5.682410387	0.569296025	0.102872738	2.487654132	3.595027587	2.875573763	0.960840106	0.328398496	15.18398133	3.98073661	0.450246516	0.069304107	3.909426532
K03694	93.26378843	55.23851236	104.6785163	38.46002528	144.6455295	144.6180821	73.25767721	177.8319366	60.7904668	254.3362244	118.8121353	69.79003466	300.2476895	125.3860909	48.92547558	230.3431491	152.3080628	65.67797178
K03695	1401.014299	1387.86635	1242.61878	1592.192212	1274.909089	1278.18481	1380.299041	1134.865654	1345.55758	1243.660043	1190.873108	1433.440863	1190.804289	1226.617414	1342.781167	1225.063424	1034.971863	1390.155814
K03696	946.0917589	958.840099	755.5831513	1073.280953	769.7376215	780.1935565	843.7982059	607.0703754	867.611268	691.0461491	737.5997166	911.1315194	600.4058769	818.3000639	841.8023355	656.7243806	538.0860288	849.597731
K03697	34.15512129	22.73421652	98.16799539	74.41279165	87.03729505	65.25890871	39.12161095	15.92367616	46.93431842	31.01515374	34.19802146	68.10243812	12.61410408	88.41149182	66.88197408	18.19449263	20.04305157	76.68038091
K03698	107.9870845	131.3525075	149.4571832	140.3589923	82.35883006	147.3039851	207.5475598	81.7313479	259.1867915	103.9121746	140.929936	97.9606845	53.03224373	137.2529298	220.6636116	142.6591286	132.7151745	141.1482314
K03699	123.9010335	72.51298466	124.1469563	106.4715985	78.2001716	131.6127691	130.0257263	102.5443199	107.8342719	66.64072415	122.7389482	123.3468851	39.83721912	134.2245678	122.2099404	78.37709216	92.868068	102.7873374
K03700	165.906573	186.0105071	142.991999	225.4716136	96.09773816	173.7329793	308.9966675	90.94443056	432.3493092	137.2015869	159.290841	186.0194757	82.28276113	196.3281492	313.7987503	164.4264337	146.586352	177.875319
K03701	1996.051004	2094.902286	1786.424206	2082.966448	1902.066662	1840.192948	1800.351478	1574.195499	1855.672782	1790.02445	1750.26606	1996.085703	1706.460463	1876.627942	1857.899085	1684.034096	1383.309892	2041.908425
K03702	1554.632727	1587.585931	1345.086105	1786.884302	1333.379408	1405.893077	1553.416484	1151.200057	1689.352512	1310.250377	1273.022719	1592.420066	1159.296488	1298.654143	1678.783648	1288.289959	1128.284315	1484.336656
K03703	821.0987812	946.8338944	820.4301663	813.9539384	847.2599167	987.7244098	822.0229744	737.9748029	843.3173662	1014.14545	784.3650984	854.9759147	1045.821017	885.7998733	778.1053812	971.6468971	665.9963342	833.7940605
